20
Wagoner County
-96.8437120000 36.0112621855
-96.8311920000 36.0405031892
-96.7868420000 36.0289254983
-96.7634120000 35.9802768298
-96.6995770000 35.9973870279
-96.6656420000 36.0915072865
-96.6271130000 36.0639660735
-96.5885010000 36.0647467359
40
24
-96.9324490000 36.9622836180
-97.1426620000 36.9613198079
-97.1477660000 36.9451175091
-97.1980970000 36.9441064708
-97.1904530000 36.9133912933
-97.1667790000 36.9020479961
-97.1754760000 36.8810921233
-97.1571660000 36.8733553146
-97.1648640000 36.8334286673
-97.1437150000 36.8212787317
-97.1443100000 36.8041632728
-97.3521120000 36.8044775702
-97.3460460000 36.6461649485
-97.0364150000 36.6447922033
-97.0385130000 36.5988141459
-96.9334560000 36.5933960734
-96.8810040000 36.5937787440
-96.8809200000 36.6071949257
-96.8805010000 36.8033854214
-96.8272860000 36.8035104112
-96.8272930000 36.9093594056
-96.8359070000 36.9093824862
-96.9324870000 36.9115933844
-96.9324490000 36.9622836180
40
29
-96.9326320000 37.2272826665
-96.9324490000 36.9622836180
-96.9324870000 36.9115933844
-96.8359070000 36.9093824862
-96.8272930000 36.9093594056
-96.8272860000 36.8035104112
-96.5138630000 36.8027835311
-96.5057300000 37.0151067302
-96.4064330000 37.0211652268
-96.4064870000 37.1214618913
-96.4067080000 37.3213219268
-96.4267880000 37.2866636843
-96.4907840000 37.2956822823
-96.5270840000 37.2457024492
-96.5578920000 37.3008040761
-96.6351930000 37.2811743945
-96.6656110000 37.3175297775
-96.6975480000 37.3208937934
-96.7118760000 37.3008552954
-96.6875920000 37.2737334853
-96.6941830000 37.2443727088
-96.7288890000 37.2309507535
-96.7502980000 37.2744028154
-96.7756810000 37.2827289718
-96.7977140000 37.2890353163
-96.8134540000 37.3372324685
-96.8830720000 37.3146781368
-96.9305880000 37.3612854537
-96.9326320000 37.2272826665
40
34
-98.1389470000 36.5414812682
-98.1390690000 36.3626125375
-98.1126630000 36.3779849188
-98.0909960000 36.3495970022
-98.1204830000 36.2811190889
-98.0827410000 36.2394668796
-98.1055220000 36.2357017800
-98.0886690000 36.1988400802
-98.0286410000 36.1836188330
-97.9754640000 36.1992538441
-97.9460070000 36.1796386911
-97.9741740000 36.1224116878
-97.9533920000 36.1147094241
-97.9606170000 36.0832699330
-97.9816060000 36.0804202710
-97.9718700000 36.0526892954
-97.8773880000 36.0108539951
-97.8353730000 36.0195310994
-97.7989120000 36.0690308470
-97.7827380000 36.0618241012
-97.7861330000 36.0880729673
-97.7621380000 36.0892767735
-97.7629850000 36.1105583968
-97.7260670000 36.1196706281
-97.6717680000 36.1809364416
-97.5904240000 36.1359999388
-97.5965120000 36.0884585693
-97.5608600000 36.0703681623
-97.5586090000 36.1720153419
-97.5369800000 36.1727015528
-97.5608440000 36.1979932567
-97.5607600000 36.2771315330
-97.5625760000 36.5405940764
-98.1389470000 36.5414812682
40
14
-99.8885730000 37.4417306450
-100.0003810000 37.4418796348
-99.9996800000 36.8693213826
-99.9263760000 36.8881008163
-99.8445820000 36.8046353260
-99.6736760000 36.8048161387
-99.6669010000 37.0691912872
-99.6680070000 37.1045643776
-99.7201690000 37.1338611327
-99.7232440000 37.2303365528
-99.7370380000 37.3365846772
-99.8884280000 37.3363760674
-99.8884350000 37.3483224282
-99.8885730000 37.4417306450
40
17
-96.5853580000 36.3295012679
-96.4538040000 36.3372281631
-96.4539030000 36.3813177999
-96.4447400000 36.3813685553
-96.4076390000 36.3812803376
-96.4073330000 36.6974484127
-96.5138320000 36.7048941607
-96.5138630000 36.8027835311
-96.8272860000 36.8035104112
-96.8805010000 36.8033854214
-96.8809200000 36.6071949257
-96.8810040000 36.5937787440
-96.9334560000 36.5933960734
-96.9336700000 36.3996941045
-96.6734160000 36.3994221521
-96.6219790000 36.3872321796
-96.5853580000 36.3295012679
40
15
-95.7793730000 36.3805335117
-95.7793880000 36.8038392685
-95.6795730000 36.8045333914
-95.6717000000 36.8044921323
-95.6719740000 36.9101890940
-95.8812560000 36.9099801528
-95.8821560000 37.0096468559
-96.0921710000 37.0156077402
-96.0917970000 36.8086023585
-96.1449740000 36.8036354011
-96.1451030000 36.7005832702
-96.4073330000 36.6974484127
-96.4076390000 36.3812803376
-95.9915770000 36.3806724838
-95.7793730000 36.3805335117
40
7
-98.6321030000 38.4014857822
-98.6368640000 38.8371729586
-98.9558640000 38.8330532526
-99.3821640000 38.8364359569
